,date,author,visitors,post_tag,post_id,link,views
0,2023-12-08,Петрова Мария Сергеевна,5486,Тенденции,317833,https://adindex.ru/news/tendencies/2023/12/8/317833.phtml,5970
1,2023-12-08,Жукова Ирина Ильинична,6935,Тенденции,317832,https://adindex.ru/news/tendencies/2023/12/8/317832.phtml,10148
2,2023-12-08,Григорьева Людмила Григорьевна,11666,Эккаунты,317827,https://adindex.ru/news/ek/2023/12/8/317827.phtml,16361
3,2023-12-08,Данилова Светлана Викторовна,13749,Креатив,317825,https://adindex.ru/news/creative/2023/12/8/317825.phtml,14652
4,2023-12-08,Данилова Светлана Викторовна,15342,Медиа,317821,https://adindex.ru/news/media/2023/12/8/317821.phtml,18184
5,2023-12-08,Данилова Светлана Викторовна,14922,Пресс-релизы,317797,https://adindex.ru/news/releases/2023/12/7/317797.phtml?erid=%202VtzqvcpebC,16501
6,2023-12-08,Сидоров Антон Владимирович,15751,Право,317818,https://adindex.ru/news/right/2023/12/8/317818.phtml,22445
7,2023-12-08,Григорьева Людмила Григорьевна,12620,Исследования,317816,https://adindex.ru/news/researches/2023/12/8/317816.phtml,12967
8,2023-12-08,Борисова Ольга Борисовна,106,Digital,317813,https://adindex.ru/news/digital/2023/12/8/317813.phtml,109
9,2023-12-08,Егорова Надежда Андреевна,11464,Пресс-релизы,317795,https://adindex.ru/news/releases/2023/12/7/317795.phtml?erid=%202Vtzqwcfq9k,12360
10,2023-12-08,Петрова Мария Сергеевна,10718,Тенденции,317811,https://adindex.ru/news/tendencies/2023/12/8/317811.phtml,13090
11,2023-12-08,Петрова Мария Сергеевна,1200,Право,317810,https://adindex.ru/news/right/2023/12/8/317810.phtml,1720
12,2023-12-08,Данилова Светлана Викторовна,17668,Право,317808,https://adindex.ru/news/right/2023/12/8/317808.phtml,25634
13,2023-12-08,Жукова Ирина Ильинична,9684,Право,317807,https://adindex.ru/news/right/2023/12/8/317807.phtml,11521
14,2023-12-08,Борисова Ольга Борисовна,2438,Право,317806,https://adindex.ru/news/right/2023/12/8/317806.phtml,3386
15,2023-12-08,Сидоров Антон Владимирович,11222,Тенденции,317805,https://adindex.ru/news/tendencies/2023/12/8/317805.phtml,13045
16,2023-12-08,Борисова Ольга Борисовна,17245,Право,317804,https://adindex.ru/news/right/2023/12/8/317804.phtml,21546
17,2023-12-07,Андреева Анастасия Андреевна,805,Тенденции,317802,https://adindex.ru/news/tendencies/2023/12/7/317802.phtml,1025
18,2023-12-07,Сидоров Антон Владимирович,5760,Социальные проекты,317801,https://adindex.ru/news/social_advertising/2023/12/7/317801.phtml,7026
19,2023-12-07,Васильева Екатерина Васильевна,14529,Пресс-релизы,317796,https://adindex.ru/news/releases/2023/12/7/317796.phtml?erid=%202VtzqwzZA18,18693
20,2023-12-07,Петрова Мария Сергеевна,17749,Дизайн,317798,https://adindex.ru/news/design/2023/12/7/317798.phtml,26495
21,2023-12-07,Андреева Анастасия Андреевна,12552,Пресс-релизы,317472,https://adindex.ru/news/releases/2023/11/27/317472.phtml?erid=%202VtzqwZHP6Z,12627
22,2023-12-07,Иванов Иван Иванович,737,Тенденции,317783,https://adindex.ru/news/tendencies/2023/12/7/317783.phtml,743
23,2023-12-07,Григорьева Людмила Григорьевна,652,Пресс-релизы,317745,https://adindex.ru/news/releases/2023/12/6/317745.phtml,786
24,2023-12-07,Сидоров Антон Владимирович,18933,Пресс-релизы,317754,https://adindex.ru/news/releases/2023/12/6/317754.phtml?erid=%202Vtzqx3mZtn,27474
25,2023-12-07,Данилова Светлана Викторовна,17219,Право,317772,https://adindex.ru/news/right/2023/12/7/317772.phtml,25532
26,2023-12-07,Петрова Мария Сергеевна,2146,Маркетинг,317771,https://adindex.ru/news/marketing/2023/12/7/317771.phtml,3062
27,2023-12-07,Иванов Иван Иванович,9789,Тенденции,317770,https://adindex.ru/news/tendencies/2023/12/7/317770.phtml,12311
28,2023-12-07,Иванов Иван Иванович,4907,Пресс-релизы,317766,https://adindex.ru/news/releases/2023/12/7/317766.phtml?erid=2VtzqwcZmx6,5273
29,2023-12-07,Васильева Екатерина Васильевна,11800,Рекламные бюджеты,317768,https://adindex.ru/news/ad_budjet/2023/12/7/317768.phtml,15647
30,2023-12-07,Васильева Екатерина Васильевна,10222,Тенденции,317765,https://adindex.ru/news/tendencies/2023/12/7/317765.phtml,14231
